"Date/Time (PST)","mph (5020') Mt. Baker - Pan Dome"
"4/30/23 10 pm",12.71
"4/30/23 9 pm",12.71
"4/30/23 8 pm",20.47
"4/30/23 7 pm",19.06
"4/30/23 6 pm",19.06
"4/30/23 5 pm",21.18
"4/30/23 4 pm",20.47
"4/30/23 3 pm",17.65
"4/30/23 2 pm",19.06
"4/30/23 1 pm",18.36
"4/30/23 12 pm",17.65
"4/30/23 11 am",15.53
"4/30/23 10 am",14.83
"4/30/23 9 am",15.53
"4/30/23 8 am",15.53
"4/30/23 7 am",
"4/30/23 6 am",12
"4/30/23 5 am",
"4/30/23 4 am",
"4/30/23 3 am",
"4/30/23 2 am",
"4/30/23 1 am",
"4/30/23 12 am",
"4/29/23 11 pm",
"4/29/23 10 pm",
"4/29/23 9 pm",
"4/29/23 8 pm",
"4/29/23 7 pm",
"4/29/23 6 pm",25.42
"4/29/23 5 pm",27.53
"4/29/23 4 pm",27.53
"4/29/23 3 pm",31.77
"4/29/23 2 pm",32.48
"4/29/23 1 pm",35.3
"4/29/23 12 pm",34.59
"4/29/23 11 am",28.24
"4/29/23 10 am",23.3
"4/29/23 9 am",28.95
"4/29/23 8 am",28.95
"4/29/23 7 am",20.47
"4/29/23 6 am",31.77
"4/29/23 5 am",32.48
"4/29/23 4 am",25.42
"4/29/23 3 am",19.77
"4/29/23 2 am",13.41
"4/29/23 1 am",12
"4/29/23 12 am",13.41
"4/28/23 11 pm",10.59
"4/28/23 10 pm",12
"4/28/23 9 pm",13.41
"4/28/23 8 pm",12.71
"4/28/23 7 pm",12.71
"4/28/23 6 pm",12
"4/28/23 5 pm",14.12
"4/28/23 4 pm",13.41
"4/28/23 3 pm",14.83
"4/28/23 2 pm",15.53
"4/28/23 1 pm",12.71
"4/28/23 12 pm",12
"4/28/23 11 am",12
"4/28/23 10 am",12.71
"4/28/23 9 am",12.71
"4/28/23 8 am",16.94
"4/28/23 7 am",15.53
"4/28/23 6 am",9.88
"4/28/23 5 am",9.18
"4/28/23 4 am",10.59
"4/28/23 3 am",9.88
"4/28/23 2 am",8.47
"4/28/23 1 am",12.71
"4/28/23 12 am",13.41
"4/27/23 11 pm",13.41
"4/27/23 10 pm",13.41
"4/27/23 9 pm",11.3
"4/27/23 8 pm",3.53
"4/27/23 7 pm",7.06
"4/27/23 6 pm",6.354
"4/27/23 5 pm",6.354
"4/27/23 4 pm",8.47
"4/27/23 3 pm",6.354
"4/27/23 2 pm",4.236
"4/27/23 1 pm",7.766
"4/27/23 12 pm",7.06
"4/27/23 11 am",5.648
"4/27/23 10 am",7.06
"4/27/23 9 am",12.71
"4/27/23 8 am",14.12
"4/27/23 7 am",14.12
"4/27/23 6 am",16.24
"4/27/23 5 am",14.12
"4/27/23 4 am",4.236
"4/27/23 3 am",6.354
"4/27/23 2 am",7.766
"4/27/23 1 am",12.71
"4/27/23 12 am",7.06
"4/26/23 11 pm",4.942
"4/26/23 10 pm",8.47
"4/26/23 9 pm",11.3
"4/26/23 8 pm",7.766
"4/26/23 7 pm",7.766
"4/26/23 6 pm",9.18
"4/26/23 5 pm",13.41
"4/26/23 4 pm",14.83
"4/26/23 3 pm",12.71
"4/26/23 2 pm",14.12
"4/26/23 1 pm",15.53
"4/26/23 12 pm",19.77
"4/26/23 11 am",21.89
"4/26/23 10 am",18.36
"4/26/23 9 am",20.47
"4/26/23 8 am",13.41
"4/26/23 7 am",12.71
"4/26/23 6 am",14.12
"4/26/23 5 am",14.83
"4/26/23 4 am",12
"4/26/23 3 am",12.71
"4/26/23 2 am",13.41
"4/26/23 1 am",13.41
"4/26/23 12 am",14.12
"4/25/23 11 pm",15.53
"4/25/23 10 pm",12.71
"4/25/23 9 pm",14.12
"4/25/23 8 pm",11.3
"4/25/23 7 pm",11.3
"4/25/23 6 pm",9.18
"4/25/23 5 pm",11.3
"4/25/23 4 pm",12
"4/25/23 3 pm",12
"4/25/23 2 pm",12
"4/25/23 1 pm",12.71
"4/25/23 12 pm",12.71
"4/25/23 11 am",9.88
"4/25/23 10 am",7.06
"4/25/23 9 am",8.47
"4/25/23 8 am",7.766
"4/25/23 7 am",9.88
"4/25/23 6 am",2.824
"4/25/23 5 am",3.53
"4/25/23 4 am",4.942
"4/25/23 3 am",8.47
"4/25/23 2 am",11.3
"4/25/23 1 am",9.18
"4/25/23 12 am",12.71
"4/24/23 11 pm",12.71
"4/24/23 10 pm",7.766
"4/24/23 9 pm",4.942
"4/24/23 8 pm",5.648
"4/24/23 7 pm",6.354
"4/24/23 6 pm",4.942
"4/24/23 5 pm",9.88
"4/24/23 4 pm",10.59
"4/24/23 3 pm",11.3
"4/24/23 2 pm",12.71
"4/24/23 1 pm",12.71
"4/24/23 12 pm",13.41
"4/24/23 11 am",13.41
"4/24/23 10 am",12.71
"4/24/23 9 am",12.71
"4/24/23 8 am",10.59
"4/24/23 7 am",7.06
"4/24/23 6 am",7.766
"4/24/23 5 am",7.06
"4/24/23 4 am",6.354
"4/24/23 3 am",10.59
"4/24/23 2 am",14.12
"4/24/23 1 am",19.06
"4/24/23 12 am",19.77
"4/23/23 11 pm",19.77
"4/23/23 10 pm",14.83
"4/23/23 9 pm",26.83
"4/23/23 8 pm",30.36
"4/23/23 7 pm",37.42
"4/23/23 6 pm",36.01
"4/23/23 5 pm",39.54
"4/23/23 4 pm",45.18
"4/23/23 3 pm",46.6
"4/23/23 2 pm",41.65
"4/23/23 1 pm",
"4/23/23 12 pm",47.3
"4/23/23 11 am",43.77
"4/23/23 10 am",39.54
"4/23/23 9 am",33.89
"4/23/23 8 am",37.42
"4/23/23 7 am",20.47
"4/23/23 6 am",28.24
"4/23/23 5 am",30.36
"4/23/23 4 am",29.65
"4/23/23 3 am",31.06
"4/23/23 2 am",33.89
"4/23/23 1 am",34.59
"4/23/23 12 am",33.89
"4/22/23 11 pm",35.3
"4/22/23 10 pm",26.83
"4/22/23 9 pm",21.18
"4/22/23 8 pm",28.95
"4/22/23 7 pm",27.53
"4/22/23 6 pm",26.83
"4/22/23 5 pm",25.42
"4/22/23 4 pm",24
"4/22/23 3 pm",20.47
"4/22/23 2 pm",19.77
"4/22/23 1 pm",19.06
"4/22/23 12 pm",23.3
"4/22/23 11 am",19.77
"4/22/23 10 am",17.65
"4/22/23 9 am",14.83
"4/22/23 8 am",13.41
"4/22/23 7 am",12.71
"4/22/23 6 am",12
"4/22/23 5 am",9.88
"4/22/23 4 am",9.18
"4/22/23 3 am",7.766
"4/22/23 2 am",7.766
"4/22/23 1 am",7.766
"4/22/23 12 am",7.766
"4/21/23 11 pm",8.47
"4/21/23 10 pm",7.766
"4/21/23 9 pm",5.648
"4/21/23 8 pm",6.354
"4/21/23 7 pm",3.53
"4/21/23 6 pm",10.59
"4/21/23 5 pm",9.88
"4/21/23 4 pm",15.53
"4/21/23 3 pm",15.53
"4/21/23 2 pm",11.3
"4/21/23 1 pm",12.71
"4/21/23 12 pm",12
"4/21/23 11 am",9.88
"4/21/23 10 am",9.88
"4/21/23 9 am",6.354
"4/21/23 8 am",5.648
"4/21/23 7 am",9.18
"4/21/23 6 am",9.18
"4/21/23 5 am",9.18
"4/21/23 4 am",10.59
"4/21/23 3 am",10.59
"4/21/23 2 am",7.766
"4/21/23 1 am",11.3
"4/21/23 12 am",18.36
"4/20/23 11 pm",26.83
"4/20/23 10 pm",33.18
"4/20/23 9 pm",26.12
"4/20/23 8 pm",31.06
"4/20/23 7 pm",33.18
"4/20/23 6 pm",36.71
"4/20/23 5 pm",37.42
"4/20/23 4 pm",31.06
"4/20/23 3 pm",29.65
"4/20/23 2 pm",41.65
"4/20/23 1 pm",42.36
"4/20/23 12 pm",33.18
"4/20/23 11 am",29.65
"4/20/23 10 am",20.47
"4/20/23 9 am",20.47
"4/20/23 8 am",13.41
"4/20/23 7 am",16.94
"4/20/23 6 am",20.47
"4/20/23 5 am",19.77
"4/20/23 4 am",19.06
"4/20/23 3 am",18.36
"4/20/23 2 am",13.41
"4/20/23 1 am",16.94
"4/20/23 12 am",16.24
"4/19/23 11 pm",16.24
"4/19/23 10 pm",15.53
"4/19/23 9 pm",14.12
"4/19/23 8 pm",9.88
"4/19/23 7 pm",14.83
"4/19/23 6 pm",18.36
"4/19/23 5 pm",12.71
"4/19/23 4 pm",16.24
"4/19/23 3 pm",22.59
"4/19/23 2 pm",24
"4/19/23 1 pm",23.3
"4/19/23 12 pm",21.18
"4/19/23 11 am",18.36
"4/19/23 10 am",16.24
"4/19/23 9 am",16.94
"4/19/23 8 am",16.94
"4/19/23 7 am",18.36
"4/19/23 6 am",15.53
"4/19/23 5 am",12
"4/19/23 4 am",9.88
"4/19/23 3 am",8.47
"4/19/23 2 am",17.65
"4/19/23 1 am",17.65
"4/19/23 12 am",16.94
"4/18/23 11 pm",26.83
"4/18/23 10 pm",18.36
"4/18/23 9 pm",22.59
"4/18/23 8 pm",26.12
"4/18/23 7 pm",34.59
"4/18/23 6 pm",38.83
"4/18/23 5 pm",33.89
"4/18/23 4 pm",40.24
"4/18/23 3 pm",26.12
"4/18/23 2 pm",30.36
"4/18/23 1 pm",34.59
"4/18/23 12 pm",29.65
"4/18/23 11 am",34.59
"4/18/23 10 am",35.3
"4/18/23 9 am",43.77
"4/18/23 8 am",45.18
"4/18/23 7 am",38.12
"4/18/23 6 am",47.3
"4/18/23 5 am",35.3
"4/18/23 4 am",35.3
"4/18/23 3 am",40.24
"4/18/23 2 am",41.65
"4/18/23 1 am",45.18
"4/18/23 12 am",42.36
"4/17/23 11 pm",44.48
"4/17/23 10 pm",20.47
"4/17/23 9 pm",26.12
"4/17/23 8 pm",48.01
"4/17/23 7 pm",41.65
"4/17/23 6 pm",9.88
"4/17/23 5 pm",10.59
"4/17/23 4 pm",27.53
"4/17/23 3 pm",29.65
"4/17/23 2 pm",20.47
"4/17/23 1 pm",18.36
"4/17/23 12 pm",24
"4/17/23 11 am",19.06
"4/17/23 10 am",12
"4/17/23 9 am",16.24
"4/17/23 8 am",23.3
"4/17/23 7 am",23.3
"4/17/23 6 am",26.83
"4/17/23 5 am",38.12
"4/17/23 4 am",34.59
"4/17/23 3 am",37.42
"4/17/23 2 am",33.18
"4/17/23 1 am",29.65
"4/17/23 12 am",36.71
"4/16/23 11 pm",14.12
"4/16/23 10 pm",29.65
"4/16/23 9 pm",23.3
"4/16/23 8 pm",26.83
"4/16/23 7 pm",35.3
"4/16/23 6 pm",41.65
"4/16/23 5 pm",48.01
"4/16/23 4 pm",52.95
"4/16/23 3 pm",48.71
"4/16/23 2 pm",40.95
"4/16/23 1 pm",50.83
"4/16/23 12 pm",43.77
"4/16/23 11 am",36.01
"4/16/23 10 am",28.24
"4/16/23 9 am",28.95
"4/16/23 8 am",24
"4/16/23 7 am",31.06
"4/16/23 6 am",40.95
"4/16/23 5 am",30.36
"4/16/23 4 am",32.48
"4/16/23 3 am",34.59
"4/16/23 2 am",33.89
"4/16/23 1 am",30.36
"4/16/23 12 am",31.77
"4/15/23 11 pm",24
"4/15/23 10 pm",31.77
"4/15/23 9 pm",40.95
"4/15/23 8 pm",37.42
"4/15/23 7 pm",29.65
"4/15/23 6 pm",22.59
"4/15/23 5 pm",19.77
"4/15/23 4 pm",22.59
"4/15/23 3 pm",33.18
"4/15/23 2 pm",32.48
"4/15/23 1 pm",37.42
"4/15/23 12 pm",31.77
"4/15/23 11 am",38.83
"4/15/23 10 am",37.42
"4/15/23 9 am",35.3
"4/15/23 8 am",31.77
"4/15/23 7 am",34.59
"4/15/23 6 am",32.48
"4/15/23 5 am",34.59
"4/15/23 4 am",34.59
"4/15/23 3 am",29.65
"4/15/23 2 am",26.83
"4/15/23 1 am",22.59
"4/15/23 12 am",31.77
"4/14/23 11 pm",37.42
"4/14/23 10 pm",24.71
"4/14/23 9 pm",25.42
"4/14/23 8 pm",23.3
"4/14/23 7 pm",21.18
"4/14/23 6 pm",19.77
"4/14/23 5 pm",18.36
"4/14/23 4 pm",19.06
"4/14/23 3 pm",16.94
"4/14/23 2 pm",16.24
"4/14/23 1 pm",12.71
"4/14/23 12 pm",13.41
"4/14/23 11 am",12
"4/14/23 10 am",7.06
"4/14/23 9 am",4.942
"4/14/23 8 am",4.942
"4/14/23 7 am",3.53
"4/14/23 6 am",4.942
"4/14/23 5 am",4.942
"4/14/23 4 am",4.236
"4/14/23 3 am",2.824
"4/14/23 2 am",4.942
"4/14/23 1 am",2.118
"4/14/23 12 am",0
"4/13/23 11 pm",7.06
"4/13/23 10 pm",4.942
"4/13/23 9 pm",2.824
"4/13/23 8 pm",7.06
"4/13/23 7 pm",7.766
"4/13/23 6 pm",4.942
"4/13/23 5 pm",9.18
"4/13/23 4 pm",11.3
"4/13/23 3 pm",8.47
"4/13/23 2 pm",12.71
"4/13/23 1 pm",13.41
"4/13/23 12 pm",9.88
"4/13/23 11 am",11.3
"4/13/23 10 am",9.88
"4/13/23 9 am",16.24
"4/13/23 8 am",17.65
"4/13/23 7 am",13.41
"4/13/23 6 am",16.94
"4/13/23 5 am",19.77
"4/13/23 4 am",19.77
"4/13/23 3 am",14.83
"4/13/23 2 am",15.53
"4/13/23 1 am",19.06
"4/13/23 12 am",18.36
"4/12/23 11 pm",14.83
"4/12/23 10 pm",13.41
"4/12/23 9 pm",12
"4/12/23 8 pm",3.53
"4/12/23 7 pm",2.824
"4/12/23 6 pm",8.47
"4/12/23 5 pm",13.41
"4/12/23 4 pm",10.59
"4/12/23 3 pm",8.47
"4/12/23 2 pm",8.47
"4/12/23 1 pm",9.88
"4/12/23 12 pm",8.47
"4/12/23 11 am",4.942
"4/12/23 10 am",5.648
"4/12/23 9 am",7.06
"4/12/23 8 am",11.3
"4/12/23 7 am",13.41
"4/12/23 6 am",14.12
"4/12/23 5 am",10.59
"4/12/23 4 am",12
"4/12/23 3 am",9.88
"4/12/23 2 am",11.3
"4/12/23 1 am",11.3
"4/12/23 12 am",6.354
"4/11/23 11 pm",5.648
"4/11/23 10 pm",4.236
"4/11/23 9 pm",5.648
"4/11/23 8 pm",7.766
"4/11/23 7 pm",10.59
"4/11/23 6 pm",9.88
"4/11/23 5 pm",10.59
"4/11/23 4 pm",11.3
"4/11/23 3 pm",19.77
"4/11/23 2 pm",14.83
"4/11/23 1 pm",16.24
"4/11/23 12 pm",16.94
"4/11/23 11 am",24
"4/11/23 10 am",33.18
"4/11/23 9 am",28.95
"4/11/23 8 am",31.06
"4/11/23 7 am",33.89
"4/11/23 6 am",11.3
"4/11/23 5 am",6.354
"4/11/23 4 am",0.706
"4/11/23 3 am",4.236
"4/11/23 2 am",5.648
"4/11/23 1 am",7.766
"4/11/23 12 am",6.354
"4/10/23 11 pm",9.18
"4/10/23 10 pm",8.47
"4/10/23 9 pm",8.47
"4/10/23 8 pm",6.354
"4/10/23 7 pm",5.648
"4/10/23 6 pm",2.118
"4/10/23 5 pm",8.47
"4/10/23 4 pm",12
"4/10/23 3 pm",11.3
"4/10/23 2 pm",9.88
"4/10/23 1 pm",7.766
"4/10/23 12 pm",7.766
"4/10/23 11 am",7.766
"4/10/23 10 am",4.942
"4/10/23 9 am",5.648
"4/10/23 8 am",14.12
"4/10/23 7 am",13.41
"4/10/23 6 am",6.354
"4/10/23 5 am",7.06
"4/10/23 4 am",6.354
"4/10/23 3 am",1.412
"4/10/23 2 am",3.53
"4/10/23 1 am",0.706
"4/10/23 12 am",5.648
"4/9/23 11 pm",4.942
"4/9/23 10 pm",7.06
"4/9/23 9 pm",15.53
"4/9/23 8 pm",41.65
"4/9/23 7 pm",48.01
"4/9/23 6 pm",57.19
"4/9/23 5 pm",64.25
"4/9/23 4 pm",66.36
"4/9/23 3 pm",63.54
"4/9/23 2 pm",50.83
"4/9/23 1 pm",50.83
"4/9/23 12 pm",50.83
"4/9/23 11 am",48.01
"4/9/23 10 am",49.42
"4/9/23 9 am",40.95
"4/9/23 8 am",38.12
"4/9/23 7 am",38.83
"4/9/23 6 am",47.3
"4/9/23 5 am",43.07
"4/9/23 4 am",26.83
"4/9/23 3 am",33.18
"4/9/23 2 am",31.77
"4/9/23 1 am",37.42
"4/9/23 12 am",33.18
"4/8/23 11 pm",29.65
"4/8/23 10 pm",36.71
"4/8/23 9 pm",33.18
"4/8/23 8 pm",33.18
"4/8/23 7 pm",38.12
"4/8/23 6 pm",30.36
"4/8/23 5 pm",33.18
"4/8/23 4 pm",36.71
"4/8/23 3 pm",36.71
"4/8/23 2 pm",36.71
"4/8/23 1 pm",36.01
"4/8/23 12 pm",33.18
"4/8/23 11 am",43.77
"4/8/23 10 am",50.83
"4/8/23 9 am",47.3
"4/8/23 8 am",43.77
"4/8/23 7 am",41.65
"4/8/23 6 am",49.42
"4/8/23 5 am",49.42
"4/8/23 4 am",41.65
"4/8/23 3 am",46.6
"4/8/23 2 am",40.95
"4/8/23 1 am",40.24
"4/8/23 12 am",44.48
"4/7/23 11 pm",38.83
"4/7/23 10 pm",39.54
"4/7/23 9 pm",38.83
"4/7/23 8 pm",28.95
"4/7/23 7 pm",28.24
"4/7/23 6 pm",21.89
"4/7/23 5 pm",25.42
"4/7/23 4 pm",24.71
"4/7/23 3 pm",29.65
"4/7/23 2 pm",36.01
"4/7/23 1 pm",32.48
"4/7/23 12 pm",23.3
"4/7/23 11 am",21.18
"4/7/23 10 am",19.06
"4/7/23 9 am",20.47
"4/7/23 8 am",17.65
"4/7/23 7 am",19.06
"4/7/23 6 am",23.3
"4/7/23 5 am",28.95
"4/7/23 4 am",28.95
"4/7/23 3 am",37.42
"4/7/23 2 am",34.59
"4/7/23 1 am",36.71
"4/7/23 12 am",24
"4/6/23 11 pm",18.36
"4/6/23 10 pm",14.12
"4/6/23 9 pm",7.766
"4/6/23 8 pm",14.12
"4/6/23 7 pm",14.12
"4/6/23 6 pm",7.766
"4/6/23 5 pm",14.12
"4/6/23 4 pm",17.65
"4/6/23 3 pm",23.3
"4/6/23 2 pm",24
"4/6/23 1 pm",18.36
"4/6/23 12 pm",23.3
"4/6/23 11 am",16.94
"4/6/23 10 am",21.18
"4/6/23 9 am",33.89
"4/6/23 8 am",33.18
"4/6/23 7 am",31.77
"4/6/23 6 am",27.53
"4/6/23 5 am",28.24
"4/6/23 4 am",26.83
"4/6/23 3 am",27.53
"4/6/23 2 am",28.24
"4/6/23 1 am",26.12
"4/6/23 12 am",30.36
"4/5/23 11 pm",25.42
"4/5/23 10 pm",24
"4/5/23 9 pm",29.65
"4/5/23 8 pm",29.65
"4/5/23 7 pm",26.83
"4/5/23 6 pm",25.42
"4/5/23 5 pm",21.89
"4/5/23 4 pm",22.59
"4/5/23 3 pm",24.71
"4/5/23 2 pm",19.06
"4/5/23 1 pm",17.65
"4/5/23 12 pm",19.77
"4/5/23 11 am",19.06
"4/5/23 10 am",19.06
"4/5/23 9 am",19.77
"4/5/23 8 am",16.94
"4/5/23 7 am",16.24
"4/5/23 6 am",18.36
"4/5/23 5 am",16.24
"4/5/23 4 am",16.24
"4/5/23 3 am",13.41
"4/5/23 2 am",12.71
"4/5/23 1 am",10.59
"4/5/23 12 am",13.41
"4/4/23 11 pm",10.59
"4/4/23 10 pm",4.236
"4/4/23 9 pm",4.942
"4/4/23 8 pm",7.06
"4/4/23 7 pm",5.648
"4/4/23 6 pm",3.53
"4/4/23 5 pm",5.648
"4/4/23 4 pm",8.47
"4/4/23 3 pm",9.18
"4/4/23 2 pm",11.3
"4/4/23 1 pm",10.59
"4/4/23 12 pm",6.354
"4/4/23 11 am",6.354
"4/4/23 10 am",2.118
"4/4/23 9 am",4.236
"4/4/23 8 am",2.824
"4/4/23 7 am",1.412
"4/4/23 6 am",4.236
"4/4/23 5 am",8.47
"4/4/23 4 am",9.88
"4/4/23 3 am",10.59
"4/4/23 2 am",6.354
"4/4/23 1 am",8.47
"4/4/23 12 am",9.88
"4/3/23 11 pm",9.18
"4/3/23 10 pm",6.354
"4/3/23 9 pm",5.648
"4/3/23 8 pm",6.354
"4/3/23 7 pm",7.06
"4/3/23 6 pm",8.47
"4/3/23 5 pm",
"4/3/23 4 pm",14.83
"4/3/23 3 pm",12.71
"4/3/23 2 pm",10.59
"4/3/23 1 pm",9.18
"4/3/23 12 pm",5.648
"4/3/23 11 am",4.942
"4/3/23 10 am",6.354
"4/3/23 9 am",5.648
"4/3/23 8 am",4.942
"4/3/23 7 am",6.354
"4/3/23 6 am",4.942
"4/3/23 5 am",5.648
"4/3/23 4 am",7.06
"4/3/23 3 am",6.354
"4/3/23 2 am",4.942
"4/3/23 1 am",5.648
"4/3/23 12 am",5.648
"4/2/23 11 pm",5.648
"4/2/23 10 pm",4.942
"4/2/23 9 pm",2.824
"4/2/23 8 pm",3.53
"4/2/23 7 pm",4.942
"4/2/23 6 pm",7.766
"4/2/23 5 pm",7.766
"4/2/23 4 pm",21.89
"4/2/23 3 pm",14.12
"4/2/23 2 pm",14.83
"4/2/23 1 pm",14.12
"4/2/23 12 pm",7.766
"4/2/23 11 am",11.3
"4/2/23 10 am",9.88
"4/2/23 9 am",16.24
"4/2/23 8 am",23.3
"4/2/23 7 am",22.59
"4/2/23 6 am",25.42
"4/2/23 5 am",28.24
"4/2/23 4 am",26.83
"4/2/23 3 am",29.65
"4/2/23 2 am",28.95
"4/2/23 1 am",14.12
"4/2/23 12 am",5.648
"4/1/23 11 pm",9.18
"4/1/23 10 pm",12
"4/1/23 9 pm",11.3
"4/1/23 8 pm",12
"4/1/23 7 pm",14.12
"4/1/23 6 pm",14.12
"4/1/23 5 pm",16.24
"4/1/23 4 pm",14.83
"4/1/23 3 pm",10.59
"4/1/23 2 pm",16.24
"4/1/23 1 pm",13.41
"4/1/23 12 pm",9.18
"4/1/23 11 am",0
"4/1/23 10 am",7.766
"4/1/23 9 am",10.59
"4/1/23 8 am",15.53
"4/1/23 7 am",10.59
"4/1/23 6 am",10.59
"4/1/23 5 am",9.88
"4/1/23 4 am",14.12
"4/1/23 3 am",14.83
"4/1/23 2 am",25.42
"4/1/23 1 am",35.3
"4/1/23 12 am",36.01
"3/31/23 11 pm",31.06
"3/31/23 10 pm",24.71
"3/31/23 9 pm",38.12
"3/31/23 8 pm",39.54
"3/31/23 7 pm",40.24
"3/31/23 6 pm",33.18
"3/31/23 5 pm",35.3
"3/31/23 4 pm",36.71
"3/31/23 3 pm",39.54
"3/31/23 2 pm",31.06
